Sample ID	Sex	Verbose Population ID	Simple Population ID	Region	Country	Town or more precise location	Latitude	Longitude	In analysis dataset (1=yes, 0=no)	Release conditions (1=fully public, 0=signed letter)	Contributor for unpublished samples (*indicates a contributor who wished to be acknowledged rather than being listed as an author)											
ALG_LN_200	M	Ain_Touta_WGA	Ain_Touta_WGA	Africa	Algeria	Batna	35.4	5.9	0	1	Mark G. Thomas / Leila Laredj											
ALG_LN_203	M	Ain_Touta_WGA	Ain_Touta_WGA	Africa	Algeria	Batna	35.4	5.9	0	1	Mark G. Thomas / Leila Laredj											
ALG_LN_204	M	Ain_Touta_WGA	Ain_Touta_WGA	Africa	Algeria	Batna	35.4	5.9	0	1	Mark G. Thomas / Leila Laredj											
Algerian43A13	M	Algerian	Algerian	Africa	Algeria	Algers	36.75	3.04	1	1	David Comas											
Algerian43A21	F	Algerian	Algerian	Africa	Algeria	Algers	36.75	3.04	1	1	David Comas											
Algerian43A22	F	Algerian	Algerian	Africa	Algeria	Algers	36.75	3.04	1	1	David Comas											
Algerian43A23	F	Algerian	Algerian	Africa	Algeria	Algers	36.75	3.04	1	1	David Comas											
Algerian43A24	F	Algerian	Algerian	Africa	Algeria	Algers	36.75	3.04	1	1	David Comas											
Algerian43A32	F	Algerian	Algerian	Africa	Algeria	Algers	36.75	3.04	1	1	David Comas											
Algerian43A34	M	Algerian	Algerian	Africa	Algeria	Algers	36.75	3.04	1	1	David Comas											
HGDP01253	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01254	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01255	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01256	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01257	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01258	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01259	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01260	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	0	1	Patterson et al. 2012											
HGDP01261	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	0	1	Patterson et al. 2012											
HGDP01262	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01263	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01264	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01265	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01268	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01269	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	0	1	Patterson et al. 2012											
HGDP01270	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	0	1	Patterson et al. 2012											
HGDP01271	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	0	1	Patterson et al. 2012											
HGDP01272	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01273	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	0	1	Patterson et al. 2012											
HGDP01274	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01275	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01276	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01277	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01278	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01279	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01280	F	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01282	M	Mozabite	Mozabite	Africa	Algeria	?	32	3	1	1	Patterson et al. 2012											
HGDP01031	M	Bantu_SA_Ovambo	BantuSA	Africa	Angola	?	-19	18	1	1	Patterson et al. 2012											
BOT5.018	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT5.026	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT5.033	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT5.034	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT5.036	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT6.258	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT6.259	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT6.263	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	0	0	Pickrell et al. 2012 and 2014											
BOT6.264	M	Gana	Gana	Africa	Botswana	n/a	-21.6523	23.3889	1	0	Pickrell et al. 2012 and 2014											
BOT5.002	M	Gui	Gui	Africa	Botswana	n/a	-21.4865840202	23.2946698219	1	0	Pickrell et al. 2012 and 2014											
